id,name,banned,results,datetested,trigger,results2,datetested2,translation
1,﻿浦志强+律师,1,-1,2014-05-10 16:12:59 UTC,浦律师,0,2014-11-03 16:56:22 UTC,Pu Zhiqiang+lawyer
2,浦志强+失联,1,-1,2014-05-10 16:14:41 UTC,浦志强失联,32,2014-11-03 16:57:04 UTC,Pu Zhiqiang+lose contact
3,浦志强+失踪,1,-1,2014-05-10 16:16:20 UTC,浦志强失踪,353,2014-11-03 16:57:46 UTC,Pu Zhiqiang+missing
4,浦志强+抄家,1,-1,2014-05-10 16:18:00 UTC,浦志强抄家,4,2014-11-03 16:58:20 UTC,Pu Zhiqiang+search home and confiscate property
5,浦志强+被抄,1,-1,2014-05-10 16:19:39 UTC,浦志强被抄,9,2014-11-03 16:58:40 UTC,Pu Zhiqiang+be searched
6,哈儿律师+失联,1,-1,2014-05-10 16:21:17 UTC,哈儿律师失联,256,2014-11-03 16:59:01 UTC,Lawyer Har+lose contact
7,哈儿律师+失踪,1,-1,2014-05-10 16:22:57 UTC,哈儿律师失踪,15,2014-11-03 16:59:25 UTC,Lawyer Har+missing
8,哈儿律师+抄家,1,-1,2014-05-10 16:24:35 UTC,哈儿律师抄家,0,2014-11-03 16:59:47 UTC,Lawyer Har+search home and confiscate property
9,浦+律师+失联,1,-1,2014-05-10 16:26:34 UTC,浦律师,0,2014-11-03 17:00:07 UTC,Pu+lawyer+lose contact
10,浦+律师+失踪,1,-1,2014-05-10 16:28:11 UTC,浦律师,0,2014-11-03 17:00:27 UTC,Pu+lawyer+missing
11,浦+律师+抄家,1,-1,2014-05-10 16:29:48 UTC,浦律师,0,2014-11-03 17:00:48 UTC,Pu+laywer+search home and confiscate property
12,陈一谘,1,-1,2014-05-10 16:31:24 UTC,陈一谘,0,2014-11-03 17:01:08 UTC,Chen Yizi
13,乌鲁木齐+悬赏,1,-1,2014-05-10 16:32:39 UTC,乌鲁木齐悬赏,184,2014-11-03 17:01:32 UTC,Urumqi+offer a reward
14,习+爆炸,,913,2014-05-10 16:33:06 UTC,,21661,2014-11-03 17:01:56 UTC,Xi+explosion
15,曾庆红+儿子,1,-1,2014-05-10 16:35:13 UTC,庆红儿子,0,2014-11-03 17:02:21 UTC,Zeng Qinghong+son
16,曾庆红+陈峰,1,-1,2014-05-10 16:36:52 UTC,曾庆红陈峰,0,2014-11-03 17:02:43 UTC,Zeng Qinghong+Chen Feng
17,曾庆红+刘振亚,1,-1,2014-05-10 16:38:27 UTC,曾庆红刘振亚,0,2014-11-03 17:03:04 UTC,Zeng Qinghong+Liu Zhenya
18,曾伟+鲁能,1,-1,2014-05-10 16:40:01 UTC,曾伟鲁能,0,2014-11-03 17:03:24 UTC,Zeng Wei+Luneng
19,王凤清+侄女,1,-1,2014-05-10 16:41:36 UTC,王凤清侄女,0,2014-11-03 17:03:45 UTC,Wang Fengqing+niece
20,李克强+王俊莲,1,-1,2014-05-10 16:43:13 UTC,李克强王俊莲,0,2014-11-03 17:04:05 UTC,Li Keqiang+Wang Junlian
21,林昭+无罪,1,-1,2014-05-10 16:44:53 UTC,林昭无罪,0,2014-11-03 17:04:26 UTC,Lin Zhao+innocent
22,林昭+苏州祭奠,1,-1,2014-05-10 16:46:32 UTC,林昭苏州祭奠,0,2014-11-03 17:04:46 UTC,Lin Zhao+Suzhou memorial rites
23,毛+鞭尸,1,-1,2014-05-10 16:47:47 UTC,毛鞭尸,0,2014-11-03 17:05:07 UTC,Mao+beat the body of the dead
24,毛+僵尸,1,-1,2014-05-10 16:49:03 UTC,毛僵尸,0,2014-11-03 17:05:27 UTC,Mao+zombie
25,毛+屠夫,1,-1,2014-05-10 16:50:17 UTC,毛屠夫,0,2014-11-03 17:05:48 UTC,Mao+butcher
26,毛+屠杀,1,-1,2014-05-10 16:51:31 UTC,毛屠杀,0,2014-11-03 17:06:08 UTC,Mao+massacre
27,腊肉+纪念馆,,62,2014-05-10 16:51:55 UTC,,576,2014-11-03 17:06:31 UTC,cured meat+mausoleum
28,三江+十字架,,439,2014-05-10 16:52:21 UTC,,3094,2014-11-03 17:06:56 UTC,Sanjiang+crucifix
