id2,id,keyword,translation,username1,status1,cant_post1,wait_msg1,hidden_from_timeline1,missing_1hr_later1,missing_24hrs_later1,deleted_msg1,deleted_msg_time1,username2,status2,cant_post2,wait_msg2,hidden_from_timeline2,missing_1hr_later2
1,1,﻿浦志强+律师,Pu Zhiqiang+lawyer,user1,active,,,,,,,,user17,,,,,
2,8,哈儿律师+抄家,Lawyer Har+search home and confiscate property,user1,,,,1,,,,,user17,,,,1,1
3,9,浦+律师+失联,Pu+lawyer+lose contact,user1,,,,,,,,,user17,,,,,
4,10,浦+律师+失踪,Pu+lawyer+missing,user1,,,,1,1,1,,,user17,,,,1,1
5,11,浦+律师+抄家,Pu+laywer+search home and confiscate property,user1,,,,1,1,1,,,user17,,,,,1
6,12,陈一谘,Chen Yizi,user1,,,,,,,,,user17,,,,,
7,15,曾庆红+儿子,Zeng Qinghong+son,user1,,,,1,1,1,,,user17,,,,1,1
8,16,曾庆红+陈峰,Zeng Qinghong+Chen Feng,user1,,,,1,1,1,,,user17,,,,1,1
9,17,曾庆红+刘振亚,Zeng Qinghong+Liu Zhenya,user1,,,,1,1,1,,,user17,,,,1,1
10,18,曾伟+鲁能,Zeng Wei+Luneng,user1,,,,1,1,1,,,user17,,,,,
11,19,王凤清+侄女,Wang Fengqing+niece,user1,,,,,,,,,user17,,,,,
12,20,李克强+王俊莲,Li Keqiang+Wang Junlian,user1,,,,,,,,,user17,,,,,
13,21,林昭+无罪,Lin Zhao+innocent,user1,,,,,,,,,user17,,,,,
14,22,林昭+苏州祭奠,Lin Zhao+Suzhou memorial rites,user1,,,,,,,,,user17,,,,,
15,23,毛+鞭尸,Mao+beat the body of the dead,user1,,,,,,,,,user17,,,,,
16,24,毛+僵尸,Mao+zombie,user1,,,,,,,,,user17,,,,,1
17,25,毛+屠夫,Mao+butcher,user1,,,,,1,1,,,user17,,,,,1
18,26,毛+屠杀,Mao+massacre,user1,,,,,,,,,user17,,,,,
19,30,林昭+右派,Lin Zhao+rightist,user1,,,,,,,,,user17,,,,,
20,31,林昭+扫墓,Lin Zhao+pay respects,user1,,,,,,,,,user17,,,,,
21,32,25周年纪念 ,25th anniversary commemoration,user1,,,,,,,,,user17,,,,,
22,35,胡占凡+内幕交易,Hu Zhanfan+insider trading,user1,,,,,1,1,,,user17,,,,,1
23,36,（周）元根 ,(Zhou) Yuangen,user1,,,,,,,,,user17,,,,,
